ï»¿Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira
SE,SP,BAURU,COMERCIO DERIVADOS DE PETROLEO RODOVIARIO DE BAURU LTDA, 01.332.585/0001-00,AVENIDA NUNO DE ASSIS,46337,-,JARDIM BELA VISTA,17053-460,GASOLINA,03/08/2026,"6,29",,R$ / litro,RAIZEN
SE,SP,BAURU,COMERCIO DERIVADOS DE PETROLEO RODOVIARIO DE BAURU LTDA, 01.332.585/0001-00,AVENIDA NUNO DE ASSIS,46337,-,JARDIM BELA VISTA,17053-460,ETANOL,03/08/2026,"3,47",,R$ / litro,RAIZEN
SE,SP,BAURU,AUTO POSTO SABIA BAURU LTDA, 00.649.048/0001-25,AVENIDA CASTELO BRANCO,33-26,,JD OUROVERDE,17056-000,GASOLINA,03/08/2026,"6,28",,R$ / litro,BRANCA
SE,SP,BAURU,AUTO POSTO SABIA BAURU LTDA, 00.649.048/0001-25,AVENIDA CASTELO BRANCO,33-26,,JD OUROVERDE,17056-000,ETANOL,03/08/2026,"3,39",,R$ / litro,BRANCA
SE,SP,BAURU,POSTO ARAUJO LEITE LTDA, 00.247.915/0001-04,AVENIDA DUQUE DE CAXIAS,10,11,CENTRO,17043-000,GASOLINA,03/08/2026,"6,37",,R$ / litro,RAIZEN
SE,SP,BAURU,POSTO ARAUJO LEITE LTDA, 00.247.915/0001-04,AVENIDA DUQUE DE CAXIAS,10,11,CENTRO,17043-000,ETANOL,03/08/2026,"3,59",,R$ / litro,RAIZEN
SE,SP,BAURU,POSTO NOSSA SENHORA DE FATIMA BAURU LTDA, 00.021.475/0001-64,RUA BERNARDINO DE CAMPOS,28307,,VILA FALCAO,17050-040,GASOLINA,03/08/2026,"5,79",,R$ / litro,BRANCA
SE,SP,BAURU,POSTO NOSSA SENHORA DE FATIMA BAURU LTDA, 00.021.475/0001-64,RUA BERNARDINO DE CAMPOS,28307,,VILA FALCAO,17050-040,ETANOL,03/08/2026,"2,99",,R$ / litro,BRANCA
SE,SP,BAURU,POSTO JARDIM AMERICA DE BAURU LTDA, 00.002.953/0001-99,AVENIDA NOSSA SENHORA DE FATIMA,6 105,,VILA AVIACAO,17053-460,GASOLINA,03/08/2026,"6,49",,R$ / litro,IPIRANGA
SE,SP,BAURU,POSTO JARDIM AMERICA DE BAURU LTDA, 00.002.953/0001-99,AVENIDA NOSSA SENHORA DE FATIMA,6 105,,VILA AVIACAO,17053-460,GASOLINA ADITIVADA,03/08/2026,"6,74",,R$ / litro,IPIRANGA
