Modelo,Fabricante,Veiculos_Vendidos,Part_Mercado_Pct
HYD IONIQ5 SIG,HYUNDAI,95,0.0109
VOLVO EC40 PERF BLACK,VOLVO,94,0.0108
M.BENZ AMG GT63S EP 2P,M.BENZ,92,0.0105
M.BENZ A200 AMG LINE,M.BENZ,90,0.0103
CHEVROLET BOLT PREMIER,GM,88,0.0101
MINI COOPER E,MINI,88,0.0101
M.BENZ SL63S EP,M.BENZ,87,0.01
GEELY/EX5 MAX,GEELY,86,0.0099
GAC HYPTEC HT ULTRA,GAC,84,0.0096
LR VELAR PHEV AB,LAND ROVER,84,0.0096
FARIZON V6E,FARIZON,82,0.0094
M.BENZ AMG GLC63S EP,M.BENZ,82,0.0094
MG MG4 URB EV43KWH COM,MG,82,0.0094
BMW I5 M60,BMW,81,0.0093
JAC E JS1 EXTREME,JAC,80,0.0092
LR RR D350 SE,LAND ROVER,80,0.0092
ARROW ONE WORK,ARROW,77,0.0088
TOYOTA CAMRY HV,TOYOTA,77,0.0088
ZEEKR 001 PREMIUM,ZEEKR,77,0.0088
M.BENZ AMG S63 EP,M.BENZ,75,0.0086
M.BENZ EQB 250,M.BENZ,75,0.0086
M.BENZ EQB350 4M,M.BENZ,75,0.0086
PORSCHE 911 TURBO S,PORSCHE,74,0.0085
LR RRS D350 SED,LAND ROVER,73,0.0084
LR DISC SPT D200 SE D,LAND ROVER,72,0.0082
LR RRS D350 LE,LAND ROVER,71,0.0081
PORSCHE TAYCAN,PORSCHE,71,0.0081
VW ID.BUZZ PRO,VW,71,0.0081
LR DEF110D X,LAND ROVER,70,0.008
LR VELAR PHEV HSED,LAND ROVER,70,0.008
LR DISC D350 LE,LAND ROVER,69,0.0079
PORSCHE TAYCAN 4GTS,PORSCHE,69,0.0079
KIA STONIC MHEV SX HEV,KIA,67,0.0077
LEXUS UX250H LUXURY HEV,LEXUS,67,0.0077
BYD DOLPHIN MINI FLAS FU,BYD,66,0.0076
LEXUS UX250H DYNAMIC HEV,LEXUS,66,0.0076
LR DEF110D S XD 7L,LAND ROVER,66,0.0076
VOLVO EC40 8 ULTRA,VOLVO,66,0.0076
FERRARI 296 GTS,FERRARI,65,0.0074
LR RR D350 LE,LAND ROVER,65,0.0074
M.BENZ AMGGLC43,M.BENZ,63,0.0072
BMW IX M60,BMW,62,0.0071
JAG FPACE PHEV RDYN S,JAGUAR,62,0.0071
M.BENZ AMG C63S EP,M.BENZ,62,0.0071
HYUNDAI KONA EV39,HYUNDAI,61,0.007
MCLAREN ARTURA,MCLAREN,61,0.007
NETA X 500 LUXURY,NETA,61,0.007
PEUGEOT 208 E-GT,PEUGEOT,61,0.007
SUZUKI EVITARA 4STY4WD,SUZUKI,60,0.0069
VOLVO XC40 INSC EXPRES,VOLVO,59,0.0068
LR DISC D300 SRD,LAND ROVER,58,0.0066
VOLVO EX40 PERF BLACK,VOLVO,58,0.0066
PORSCHE CAYENNE TS PHE,PORSCHE,57,0.0065
FOTON EVIEWCONNECT 50S,FOTON,53,0.0061
M.BENZ EQC400 4M,M.BENZ,53,0.0061
TOYOTA BZ4X BEV AWD,TOYOTA,52,0.006
PORSCHE TAYCAN TURBO S,PORSCHE,51,0.0058
VOLVO XC90 T8 R-DESIGN,VOLVO,51,0.0058
ZEEKR 7X PREMIUM RWD,ZEEKR,51,0.0058
M.BENZ AMG GLA35 4M,M.BENZ,49,0.0056
NEXTEM ORCA FEVER FN1,FEVER,48,0.0055
VOLVO XC60 T8 INSCRIPT,VOLVO,48,0.0055
PORSCHE CAYENNE T PHEV,PORSCHE,47,0.0054
VOLVO XC40 T5H RDESIGN PHEV,VOLVO,47,0.0054
AUDI E TRON SPB S,AUDI,46,0.0053
KIA EV5 LAND 2WD,KIA,43,0.0049
NETA AYA LUXURY 4S,NETA,43,0.0049
AUDI E TRON GT,AUDI,42,0.0048
GWM/HAVAL H6 HEV ONE,GWM,42,0.0048
M.BENZ E300 EXCLUSIVE,M.BENZ,42,0.0048
AOXIN HITECH ECOTECH 2,HITECH,41,0.0047
M.BENZ AMG GLB35 4M,M.BENZ,41,0.0047
LR DEF110D HSE,LAND ROVER,40,0.0046
LR DEF90D S,LAND ROVER,40,0.0046
M.BENZ AMG C63S EP F1,M.BENZ,39,0.0045
NISSAN ARIYA ENG AWD,NISSAN,39,0.0045
FOTON EWONDER CHASSI,FOTON,38,0.0044
MASERATI LEVANTE MHEV,MASERATI,38,0.0044
HITECH NEWDELIVERY URBAN,HITECH E,37,0.0042
LEXUS RZ 500E,LEXUS,37,0.0042
LR DISC SPT D200 S PHEV,LAND ROVER,37,0.0042
M.BENZ EQE 300,M.BENZ,37,0.0042
PORSCHE TAYCAN TURBO,PORSCHE,37,0.0042
VOLVO XC40 T5H INSCRIP PHEV,VOLVO,37,0.0042
JAC IEV 330P,JAC,36,0.0041
M.BENZ GLS 450 4M HEV,M.BENZ,36,0.0041
NISSAN ARIYA ENG 2WD,NISSAN,36,0.0041
LR RR PHEV HSE,LAND ROVER,35,0.004
AOXIN HITECH ECOCARGO,HITECH,34,0.0039
JAG IPACE E400 SE,JAGUAR,33,0.0038
CAOACHERY ARRIZO6 PRHA,CAOA CHERY,31,0.0036
LR DISC SPT D200 SE 7L,LAND ROVER,31,0.0036
MINI JCW-E ACEMAN,MINI,31,0.0036
FERRARI SF90 STRADALE,FERRARI,30,0.0034
M.BENZ AMG GT63S EP,M.BENZ,30,0.0034
M.BENZ EQE350 SUV AMGL,M.BENZ,30,0.0034
M.BENZ EQS 53 4M,M.BENZ,29,0.0033
JAC IEV750V,JAC,28,0.0032
TANGJUN RD6 LUXURY PRO,RADAR,28,0.0032
VOLVO XC60 INSC EXPRES,VOLVO,28,0.0032
AUDI A6 ETRON RWD,AUDI,27,0.0031
LEXUS NX300H LUXURY HEV,LEXUS,27,0.0031
LR RR D350 SV,LAND ROVER,27,0.0031
VOLVO XC60 T8 R-DESIGN,VOLVO,27,0.0031
GAC GS9 ULTRA,GAC,26,0.003
LAMBORGHINI REVUELTO,LAMBORGHINI,26,0.003
LR RR PHEV SV,LAND ROVER,26,0.003
M.BENZ 320 VIPK AMB,M.BENZ,26,0.003
TESLA MODEL S PLAID,TESLA,26,0.003
AUDI Q6 SB ETRON QUATT,AUDI,25,0.0029
DONGFENG SERES 3 ELEG2,DONGFENG,25,0.0029
GMC HUMMER EV EDITION1,GMC,25,0.0029
LAMBORGHINI URUS BEAA,LAMBORGHINI,25,0.0029
LR DISC SPT D200 S 7L,LAND ROVER,25,0.0029
TESLA MODEL Y LONG R,TESLA,25,0.0029
LR RRS PHEV HSED,LAND ROVER,24,0.0027
MINI JCW-E 3P,MINI,24,0.0027
TANGJUN RD6 COMFORT,RADAR,24,0.0027
TESLA MODEL X PLAID,TESLA,24,0.0027
CAOACHERY TIGGO7 SPORT,CAOA CHERY,23,0.0026
JAC IEV750 VIP ALPHA6,JAC,23,0.0026
LR DISC D300 HSED,LAND ROVER,23,0.0026
DONGFENG SERES 3 ELEG,DONGFENG,22,0.0025
LAMBORGHINI URUS SE,LAMBORGHINI,22,0.0025
LR R.R SPT 3.0 TD HSE,LAND ROVER,22,0.0025
PORSCHE 911 TURBO S CA,PORSCHE,22,0.0025
TANGJUN RIDDARA RD6PRO,RIDDARA,22,0.0025
VOLVO XC60 T8 R-DESIGN PHEV,VOLVO,22,0.0025
GMC HUMMER EV SUV EDIT,GMC,21,0.0024
LR DEF110D350 HSEXD 7L,LAND ROVER,21,0.0024
M.BENZ EQE300 SUV,M.BENZ,21,0.0024
M.BENZ EQS450,M.BENZ,21,0.0024
NISSAN ARIYA ENGPL AWD,NISSAN,21,0.0024
LEXUS NX300H LUXURY  HEV,LEXUS,20,0.0023
LR DISC SPT D200 SE,LAND ROVER,20,0.0023
TANGJUN RIDDARA RD6AIR,RIDDARA,20,0.0023
FERRARI SF90 SPIDER,FERRARI,19,0.0022
LEXUS RX450H L LUXURY HEV,LEXUS,19,0.0022
HONDA ACCORD HYB TRNG HEV,HONDA,18,0.0021
LR R.R SPT 3.0 TD HSED PHEV,LAND ROVER,18,0.0021
M.BENZ EQE350 AMGL,M.BENZ,18,0.0021
